info,title,link,desc
"
        
  
  [日] 安倍夜郎 / 陈颖 / 湖南文艺出版社 / 2013-6 / 25.00元

      ","

    深夜食堂 05


    

  ",https://book.douban.com/subject/23780875/,"◆当你成天加班、疲惫不堪的时候，当你失恋痛哭的时候，当你置身于幸福之中的时候……来深夜食堂坐坐吧，这是一个让你吃饱喝足，满面笑容回家的治愈天堂。
◆蔡康永推... "

"
        
  
  中村明日美子 / 茜新社 / 2007 / 650円

      ","

    同級生


    

  ",https://book.douban.com/subject/3095638/,"まじめに、ゆっくり、恋をしよう。
合唱祭前の音楽の授業中、同級生でメガネの優等生・佐条利人が歌っていないことに気付いた草壁光。佐条は歌なんかくだらないのかと... "

"
        
  
  伊藤潤二 / 何力 / 東立 / 1998-9-5 / 新台币100元

      ","

    伊藤潤二恐怖漫畫精選【1】


    
      ",https://book.douban.com/subject/1442680/,難以形容的恐懼！死後不斷再生的【富江】，她如妖女般的神奇魅力，吸引你我的目光！由伊藤潤二執筆的恐怖女王淒絕的微笑！（來源：博客來書籍館） 

"
        
  
  谷口治郎、關川夏央 / 東販 / 2000年4月1日 / 150元

      ","

    少爺的時代


    

  ",https://book.douban.com/subject/1937583/,榮獲日本手塚治虫文化賞，由谷口治郎和 關川夏央兩位大師耗時十一年的不朽之作，全書共分為五部─描寫日本近代文化先驅-夏目漱石...等人多彩多姿的生活，以最鮮明... 

"
        
  
  [美] 杰夫·洛布、[美] 蒂姆·塞尔 / 市长、院长 / 世界图书出版公司 / 2016-8-14 / 88.00元

      ","

    蝙蝠侠：漫长的万圣节


    

  ",https://book.douban.com/subject/26642650/,"“《漫长的万圣节》远不仅仅是一本漫画书，它是一个史诗般的悲剧故事。”
——克里斯托弗·诺兰（《黑暗骑士崛起》导演）
一名变装英雄逐渐学会了他不能相信任何人。... "

"
        
  
  [美] 弗兰·克劳斯 / 谢倩雪 / 中信出版社 / 2016-10 / 32.00

      ","

    人人都有妄想症


    
      ",https://book.douban.com/subject/26840504/,这部漫画收集了101个古怪的妄想。作者弗兰·克劳斯一开始只是将自己担心的那些不可理喻的奇怪想法画成漫画发布在网络上，引起众多网友关注。越来越多的网友看到以后... 

